Fluid,COP,UA_ev,UA_cd
R1336MZZZ_R1336MZZE_mass_0.40_0.60,5.57299279327165,550011.0274668891,561188.1509233335
R1336MZZZ_R1336MZZE_mass_0.45_0.55,5.625741630291581,557283.6030345097,564169.8589463378
R1336MZZZ_R1336MZZE_mass_0.50_0.50,5.662783184221251,562197.21529703,564934.0402943463
R1336MZZZ_R1336MZZE_mass_0.55_0.45,5.682875658127782,564295.7076000598,563436.5242114032
R1336MZZZ_R1336MZZE_mass_0.60_0.40,5.6851572724808666,563237.6980446503,559735.4597827155
R1336MZZZ_R1336MZZE_mass_0.65_0.35,5.669209640443707,558849.9331583555,553984.4329892726
R1336MZZZ_R1336MZZE_mass_0.70_0.30,5.635107034254756,551165.7029521569,546417.341137633
R1336MZZZ_R1336MZZE_mass_0.75_0.25,5.583447457221091,540438.7913155332,537328.5293607304
R1336MZZZ_R1336MZZE_mass_0.80_0.20,5.515329020570087,527128.2685125677,527050.723158542
R1336MZZZ_R1336MZZE_mass_0.85_0.15,5.432380047450426,511855.6809259263,515929.8226747641
R1336MZZZ_R1336MZZE_mass_0.90_0.10,5.336549830183954,495341.5446680488,504309.2519845584
R1336MZZZ_R1336MZZE_mass_0.95_0.05,5.2299793867442395,478334.98461427866,492514.6001666105
R1336MZZZ_R1336MZZE_mass_1.00_0.00,5.114992514856745,461546.83372841775,480841.4602119823
